user_index,poi_index,cat_index,POI_catname,latitude,longitude,local_time,week_start,split_week,session_id
3,357,70,Train Station,40.750794799423865,-73.99357639021292,2012-07-02 08:38:07,2012-07-02,train,3_13
3,357,70,Train Station,40.750794799423865,-73.99357639021292,2012-07-02 16:56:01,2012-07-02,train,3_13
3,1002,70,Train Station,40.69902344282463,-73.81001472473143,2012-07-02 17:28:30,2012-07-02,train,3_13
3,1002,70,Train Station,40.69902344282463,-73.81001472473143,2012-07-03 08:12:06,2012-07-02,train,3_13
3,357,70,Train Station,40.750794799423865,-73.99357639021292,2012-07-03 08:33:05,2012-07-02,train,3_13
3,1340,70,Train Station,40.745793884066536,-73.90296936035156,2012-07-03 12:18:03,2012-07-02,train,3_13
3,1002,70,Train Station,40.69902344282463,-73.81001472473143,2012-07-03 12:25:39,2012-07-02,train,3_13
3,1775,71,Train Station,40.69114924783757,-73.76555442810059,2012-07-03 12:43:48,2012-07-02,train,3_13
3,764,221,Bridge,40.713565479798646,-73.97236347198486,2012-07-03 23:01:01,2012-07-02,train,3_13
3,4994,120,Other Great Outdoors,40.745180776401206,-73.97943602217596,2012-07-04 11:05:23,2012-07-02,train,3_13
3,1002,70,Train Station,40.69902344282463,-73.81001472473143,2012-07-05 08:11:22,2012-07-02,train,3_13
3,357,70,Train Station,40.750794799423865,-73.99357639021292,2012-07-05 08:32:54,2012-07-02,train,3_13
3,1002,70,Train Station,40.69902344282463,-73.81001472473143,2012-07-05 17:40:24,2012-07-02,train,3_13
3,357,70,Train Station,40.750794799423865,-73.99357639021292,2012-07-06 08:41:46,2012-07-02,train,3_13
4,488,37,Bar,40.728169436560826,-73.98843495931236,2012-07-04 00:27:34,2012-07-02,train,4_12
4,288,288,Ferry,40.70145732419213,-74.01321428847186,2012-07-04 18:10:02,2012-07-02,train,4_12
4,608,238,Music Venue,40.673615,-73.99171,2012-07-08 14:09:56,2012-07-02,train,4_12
8,4425,194,Mexican Restaurant,40.72592867208607,-73.99639476444295,2012-07-02 15:20:14,2012-07-02,train,8_8
8,436,241,Airport,40.68968493541091,-74.17938709259033,2012-07-03 07:52:31,2012-07-02,train,8_8
8,436,241,Airport,40.68968493541091,-74.17938709259033,2012-07-08 00:32:33,2012-07-02,train,8_8
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-02 20:35:08,2012-07-02,train,9_12
9,4845,96,Deli / Bodega,40.68614152063403,-73.94364845987359,2012-07-02 20:36:46,2012-07-02,train,9_12
9,4772,281,Residential Building (Apartment / Condo),40.68610405768023,-73.94382640962873,2012-07-03 03:39:24,2012-07-02,train,9_12
9,4845,96,Deli / Bodega,40.68614152063403,-73.94364845987359,2012-07-04 02:52:18,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-04 02:53:12,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-04 02:53:36,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-04 02:53:59,2012-07-02,train,9_12
9,4772,281,Residential Building (Apartment / Condo),40.68610405768023,-73.94382640962873,2012-07-04 02:54:31,2012-07-02,train,9_12
9,4772,281,Residential Building (Apartment / Condo),40.68610405768023,-73.94382640962873,2012-07-06 01:11:13,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-07 21:08:35,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-07 21:11:17,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-07 21:12:48,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-08 20:07:07,2012-07-02,train,9_12
9,3777,301,Neighborhood,40.6826899486852,-73.93173693518101,2012-07-08 20:08:05,2012-07-02,train,9_12
10,2736,37,Bar,40.73260908451682,-73.98778071406592,2012-07-04 00:00:59,2012-07-02,train,10_11
10,665,138,Gym / Fitness Center,40.73448312627058,-73.98823409478094,2012-07-05 19:22:27,2012-07-02,train,10_11
10,865,37,Bar,40.729765,-73.980866,2012-07-06 16:28:05,2012-07-02,train,10_11
10,157,48,Bar,40.73211863793743,-73.98541241884232,2012-07-06 17:12:42,2012-07-02,train,10_11
10,2736,37,Bar,40.73260908451682,-73.98778071406592,2012-07-06 18:07:14,2012-07-02,train,10_11
10,2787,37,Bar,40.729395470403695,-73.98717237876596,2012-07-06 18:45:31,2012-07-02,train,10_11
10,672,37,Bar,40.74304318524658,-73.98022803738444,2012-07-06 20:00:08,2012-07-02,train,10_11
10,2787,37,Bar,40.729395470403695,-73.98717237876596,2012-07-06 21:29:35,2012-07-02,train,10_11
10,73,191,Latin American Restaurant,40.7827998810992,-73.9734148979187,2012-07-07 17:04:57,2012-07-02,train,10_11
10,3372,47,Bar,40.734088,-74.002822,2012-07-07 19:24:10,2012-07-02,train,10_11
10,3372,47,Bar,40.734088,-74.002822,2012-07-07 22:48:50,2012-07-02,train,10_11
12,742,138,Gym / Fitness Center,40.760883374098434,-73.98500875552415,2012-07-02 10:36:24,2012-07-02,train,12_12
12,1395,259,Hotel,40.76053962409181,-73.98462423637571,2012-07-02 13:17:39,2012-07-02,train,12_12
